,G_MO,G_NOD,G_R,G_Rnd,R_D,Y
1947-06-30,0.004897456671733779,0.0005850204215381648,0.16282789818325807,0.16714033443345364,0.0043124362501956144,1.027830736034995
1947-09-30,0.004836585413708152,0.0006329759434047582,0.15487217169112957,0.15907578116143298,0.004300990384673358,1.0127006463761319
1947-12-31,0.0047550841701724435,0.0007038775909794735,0.14983989739528591,0.15389110397447886,0.004317115891340771,1.0157149159386851
1948-03-31,0.0047820815932500165,0.0008123407834687527,0.15184258597413333,0.15581232678391457,0.004379742997664078,1.0182691720780817
1948-06-30,0.004876442955744122,0.000885261951965856,0.15598615682435663,0.1599773378281349,0.004302523130952698,1.0224287900910063
1948-09-30,0.0048029111488137165,0.0009169194011371642,0.15769558271938372,0.16158157446706026,0.004206185824264134,1.0158739250789353
1948-12-31,0.004788397336736481,0.0009748832901140141,0.16224280107937897,0.16605631512600144,0.003974799885060448,1.0048681195445062
1949-03-31,0.004785385911178988,0.001011197618136036,0.1682041784449453,0.17197836673798828,0.003613963318338297,0.979273682064882
1949-06-30,0.004791281415866849,0.0010663089204451443,0.17428108432062256,0.17800605681604426,0.0034264059976970643,0.9644799729057013
1949-09-30,0.004714831192843406,0.0012139984508518947,0.17299477924639503,0.17649561198838654,0.003359670131427337,0.9630430908561707
1949-12-31,0.004590195005527395,0.0013812440898091556,0.1694953921721871,0.17270434308790533,0.0034042783627619587,0.9439443037696523
1950-03-31,0.004461905919874189,0.001602418225094136,0.1646070307777735,0.16746651847255356,0.003698685170422025,0.9698360028377931
1950-06-30,0.004368933855637723,0.0017421293879178459,0.164546162246717,0.1671729667144369,0.003960622280344478,0.98805616806982
1950-09-30,0.0042674299947228446,0.0017780958311345188,0.15953470929345823,0.16202404345704655,0.004106084261897676,1.0146769715770285
1950-12-31,0.004282966097963289,0.00176432633289234,0.16739685331987414,0.16991549308494508,0.004119957686772149,1.022622080755869
